Bonus #,Winning Numbers,Draw Date,Extra #
27,06 19 24 37 45 56,02/25/2023,
5,04 07 08 15 30 41,02/22/2023,
46,32 47 49 52 58 59,02/18/2023,
50,02 22 24 27 29 32,02/15/2023,
59,02 07 16 50 56 57,02/11/2023,
24,03 05 13 16 29 37,02/08/2023,
16,02 14 28 29 49 50,02/04/2023,
39,02 04 06 16 23 32,02/01/2023,
11,05 16 22 24 26 54,01/28/2023,
28,02 17 21 47 55 58,01/25/2023,
3,19 25 40 45 51 57,01/21/2023,
45,05 09 21 25 35 42,01/18/2023,
56,05 33 36 39 40 57,01/14/2023,
32,21 25 31 43 45 54,01/11/2023,
23,13 14 16 21 24 39,01/07/2023,
25,06 09 12 16 29 57,01/04/2023,
26,09 10 13 35 36 55,12/31/2022,
4,02 14 18 37 38 56,12/28/2022,
50,19 20 21 23 27 37,12/24/2022,
27,03 11 24 36 40 56,12/21/2022,
53,04 13 19 22 24 32,12/17/2022,
5,07 10 20 23 39 52,12/14/2022,
3,05 18 19 20 30 45,12/10/2022,
28,05 27 29 44 53 57,12/07/2022,
19,04 38 45 46 48 59,12/03/2022,
8,04 15 32 39 41 57,11/30/2022,
35,05 18 24 27 39 46,11/26/2022,
11,10 22 36 37 39 55,11/23/2022,
50,09 12 24 28 30 41,11/19/2022,
34,18 36 39 57 58 59,11/16/2022,
55,11 12 15 19 37 51,11/12/2022,
35,07 13 15 19 27 58,11/09/2022,
12,01 08 22 24 44 46,11/05/2022,
44,07 13 18 22 38 47,11/02/2022,
30,23 25 39 47 51 52,10/29/2022,
47,02 24 28 38 45 59,10/26/2022,
5,03 06 22 41 43 50,10/22/2022,
32,02 17 23 34 49 50,10/19/2022,
24,37 41 43 47 50 56,10/15/2022,
1,02 11 27 28 40 50,10/12/2022,
49,01 07 17 38 44 54,10/08/2022,
20,01 42 48 50 52 59,10/05/2022,
44,02 06 16 33 35 52,10/01/2022,
9,06 22 28 32 36 49,09/28/2022,
48,07 12 27 31 35 50,09/24/2022,
24,08 33 38 40 42 53,09/21/2022,
19,16 27 36 40 41 55,09/17/2022,
22,08 16 18 36 54 59,09/14/2022,
40,09 30 32 51 55 57,09/10/2022,
17,01 04 16 26 35 48,09/07/2022,
17,12 28 30 40 43 52,09/03/2022,
27,42 45 47 49 52 56,08/31/2022,
53,12 19 30 31 47 57,08/27/2022,
